,,,Totalt,1 2 3 4,DA232-4X,,1 2 3 4,DA234X,,1 2,DM1579,,1 summer,DH1621,,1,DH2400,,2,DH2408,,1 2,DH2465,,1 2 3 4,DH2466,,1,DH1622,,2,Dm2712,,1 2,DM2630,,1 2,DH2632,,1 2,DH2655,,1 2,DM1581,,1 2 3 4,DM1578,,2,DM2500,,2,DM2517,,1,DM2572,,2,DM2573,,2,DM2579,,1 2 3 4,DM2904-6,,1,DM2601,,1 2 3 4,DM2679,,1 2,DM2350,,1 2 3 4,DM2575,,2,DM2799,,2,DM2584,,1 2,DH2642,,1,IC1007,,2,IC2005,,1 2,DH2650,,2,DD2470,,1 2,DH2413,,1,DD2257,,2,DT2140,30,2,DT2410,,2,DM1135,,1,DH2643,,1,DM1595,
,,,,Adm,Susan Bones,96.6,,,,Ha,Elphias Doge,8,Ex,Reginald Cattermole,4,Frl,Marjorie (Marge) Dursley,8,,,,,,,Adm,Hannah Abbott,10,Frl,Arabella Figg,8,Ku,Penelope Clearwater,0,Ovn,Dudley Dursley,29,Adm,Marcus Flint,36,,,,Frl,Terry Boot,3,Ovn,Cho Chang,35,,,,Ha,Cho Chang,0,Frl,Penelope Clearwater,42,Ovn,Phineas Nigellus Black,38,Ha,Elphias Doge,3,,,,Ovn,Mundungus Fletcher,54,,,,Frl,UNKNOWN MID,6,Ku,Susan Bones,4,Ku,Terry Boot,7.5,Ex,UNKNOWN MID,,Frl,Fö Extern MID,20,Ex,Terry Boot,,Ex,Neville Longbottom,36,La,Igor Karkaroff,7,Ha,Bertha Jorkins,4.5,Adm,Angelina Johnson,23,Ku,Bertha Jorkins,10,Frl,Katie Bell,6,Frl,Cornelius Fudge,6,Frl,Michael Corner,23,Ovn,Marcus Belby,,Ovn,UNKNOWN MID,
,,,,Ex,Penelope Clearwater,56,Ex,Penelope Clearwater,,Ex,Elphias Doge,35,Ku,Reginald Cattermole,17,Ex,Vincent Crabbe,28,Ex,Argus Filch,106,Ha,Seamus Finnigan,13,Ha,Hannah Abbott,4,Frl,Terry Boot,36,Ha,Penelope Clearwater,15,Ovn,Ludo Bagman,29,Ex,Arabella Figg,94,Ku,Igor Karkaroff,18,Frl,Fleur Delacour,5,Ovn,Mary Cattermole,50,La,Lab handl Teknolog MID,18,Ex,Cho Chang,,Frl,Fö Extern MID,6,Ovn,Cedric Diggory,76,Ex,Elphias Doge,15,,,,Ovn,Mrs. Cole,54,Ovn,Ludo Bagman,40,Frl,Katie Bell,12,Ex,Susan Bones,18,Ku,Sirius Black,7.5,Ku,UNKNOWN MID,0,La,Lab handl Teknolog MID,464,Ku,Terry Boot,,Ku,Neville Longbottom,40,Ex,Igor Karkaroff,55,Ex,Bertha Jorkins,14,Ku,Angelina Johnson,12,Adm,Bertha Jorkins,14,Frl,Argus Filch,6,Ovn,Cornelius Fudge,18,Frl,Ernie Macmillan,22.5,,,,,,
,,,,,,,Ex,Fleur Delacour,,Ku,Elphias Doge,12,Ovn,Reginald Cattermole,8,Adm,Frank Bryce,61,Ha,Argus Filch,37,Ex,Seamus Finnigan,130,,,,,,,Ex,Penelope Clearwater,225,,,,Ku,Arabella Figg,6,Adm,Igor Karkaroff,30,,,,Ovn,Katie Bell,25,Ha,Mary Cattermole,17,Ku,Cho Chang,,,,,Ha,Cedric Diggory,14,Ku,Elphias Doge,15,,,,Ha,Mundungus Fletcher,5,Ovn,Bertha Jorkins,40,Frl,Mafalda Hopkirk,12,Ovn,Amelia Bones,8,Ex,Terry Boot,28,Ovn,UNKNOWN MID,0,Ha,Lab handl Teknolog MID,32,Frl,Terry Boot,,Frl,Neville Longbottom,30,Ku,Igor Karkaroff,12,Ku,Bertha Jorkins,12,Ex,Angelina Johnson,23,,,,Frl,Angelina Johnson,12,La,Cornelius Fudge,0,Frl,,,La,Marcus Belby,,La,UNKNOWN MID,
,,,,Ex,Arabella Figg,64,Ex,Hannah Abbott,,Adm,Elphias Doge,54,,,,Ku,Vincent Crabbe,15,Ovn,Lab handl Teknolog MID,7,Ku,Seamus Finnigan,24,,,,Ovn,NN Doktorand,54,,,,Ex,Dudley Dursley,32,Frl,Fö Extern MID,24,Frl,Seamus Finnigan,20,Frl,Fö Extern MID,20,Ovn,Fleur Delacour,50,Ex,Mary Cattermole,36,Adm,Cho Chang,,Ha,Penelope Clearwater,12,Ex,Cedric Diggory,28,,,,,,,Ha,Frank Bryce,5,Ovn,Frank Bryce,40,Frl,Madam Hooch,12,Ex,Amelia Bones,18,Ex,Sirius Black,28,Frl,UNKNOWN MID,0,Ex,Lab handl Teknolog MID,128,Ovn,Terry Boot,,Ovn,Neville Longbottom,38,Adm,Igor Karkaroff,54,Adm,Bertha Jorkins,39,Ha,Angelina Johnson,14,Ha,Viktor Krum,13,Ovn,Florean Fortescue,45,La,Lab handl Teknolog TMH,42,Ovn,NN Doktorand,30,La,Marcus Belby,,La,UNKNOWN MID,
,,,,Ex,Marcus Belby,40,Ex,Arabella Figg,,Ha,UNKNOWN MID,8,,,,Ovn,Vincent Crabbe,8,Ovn,Argus Filch,13,Adm,Seamus Finnigan,41,,,,Ovn,Justin Finch-Fletchley,54,,,,Ex,Ludo Bagman,32,,,,Adm,Seamus Finnigan,17,Frl,Dawlish,5,Ovn,Bathilda Bagshot,38,Ku,Mary Cattermole,15,La,Lab handl Teknolog MID,,Ex,Penelope Clearwater,54,Ku,Cedric Diggory,8,,,,,,,Ha,Mrs. Cole,5,Ovn,UNKNOWN MID,40,La,Michael Corner,14,,,,Frl,Terry Boot,12,,,,,,,,,,,,,Frl,Frl Gratis,28,Ha,Angelina Johnson,4.5,La,Helga Hufflepuff,21,Ex,Viktor Krum,34,,,,La,Lab handl Teknolog TMH,21,Ovn,NN Doktorand,30,Ha,Marcus Belby,8,Ha,UNKNOWN MID,15
,,,,Ex,Argus Filch,,Ex,Susan Bones,,Ha,Justin Finch-Fletchley,8,,,,La,Lab handl Teknolog MID,45,Adm,Argus Filch,39,Frl,Fö Extern MID,8,,,,Ovn,Albus Dumbledore,54,,,,Ku,Ludo Bagman,18,,,,,,,Frl,Colin Creevey,5,Ovn,Cuthbert Binns,25,Adm,Mary Cattermole,43,Ex,Lab handl Teknolog MID,,Ku,Penelope Clearwater,20,Adm,Millicent Bulstrode,24,Frl,NN Doktorand,5,,,,Ku,Mundungus Fletcher,15,Ex,Frank Bryce,30,Adm,Michael Corner,54,,,,Ovn,Terry Boot,22.5,,,,Adm,Marcus Belby,18,,,,,,,,,,Ha,Mafalda Hopkirk,4.5,Adm,Helga Hufflepuff,23,Ku,Viktor Krum,10,La,Griselda Marchbanks,29,La,Lab handl Teknolog TMH,21,Ovn,,,,,,,,
,,,,Ex,Fleur Delacour,56,Ex,Cuthbert Binns,,,,,,,,La,Lab handl Teknolog MID,45,Ku,Argus Filch,8,Ovn,Fö Extern MID,6,,,,Ovn,Terry Boot,54,,,,,,,,,,,,,Frl,Millicent Bulstrode,5,Ovn,Phineas Nigellus Black,25,Frl,Fö Extern MID,5,La,Cho Chang,,,,,Frl,Millicent Bulstrode,10,Frl,Fö Extern MID,15,,,,Adm,Mundungus Fletcher,49,Ovn,Cedric Diggory,40,Ku,Michael Corner,15,,,,Ovn,Sirius Black,22.5,,,,Adm,Lab handl Teknolog MID,54,,,,,,,Ex,Rodolphus Lestrange,15,Ha,Igor Karkaroff,4.5,Ex,Helga Hufflepuff,23,Adm,Viktor Krum,28,La,Olympe Maxime,29,Ha,Cornelius Fudge,3,La,NN Doktorand,25,Ex,Marcus Belby,40,Ex,UNKNOWN MID,75
,,,,Ex,Hannah Abbott,56,Ex,Amelia Bones,,Ovn,Elphias Doge,10,,,,La,Vincent Crabbe,45,La,Lab handl Teknolog MID,30,Adm,Igor Karkaroff,17,,,,,,,,,,Frl,Ludo Bagman,48,,,,,,,Frl,Frl Gratis,20,Ovn,Mundungus Fletcher,13,La,Mary Cattermole,6,,,,,,,Ku,Millicent Bulstrode,8,Frl,Susan Bones,5,,,,,,,Ku,Frank Bryce,20,Ovn,Lab handl Teknolog MID,7,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Igor Karkaroff,23,Ovn,Viktor Krum,24,La,Lab handl Teknolog TMH,56,Ex,Cornelius Fudge,24,La,Michael Corner,25,,,,,,
,,,,Ex,Reginald Cattermole,64,Ex,Katie Bell,,Frl,UNKNOWN MID,11,,,,Ex,Frank Bryce,28,,,,,,,,,,Ex,NN Doktorand,45,,,,Frl,Dudley Dursley,8,,,,,,,,,,Ex,Cho Chang,40,,,,,,,,,,Ex,Phineas Nigellus Black,28,,,,,,,Ex,Mundungus Fletcher,63,,,,Ovn,Michael Corner,3,,,,Ha,UNKNOWN MID,12,,,,,,,,,,,,,,,,,,,,,,Ovn,Bellatrix Lestrange,24,La,NN Doktorand,16,Ku,Cornelius Fudge,15,La,,,,,,,,
,,,,Ex,Frank Longbottom,48,Ex,Elphias Doge,,Ovn,UNKNOWN MID,2,,,,Ex,Frank Bryce,15,Frl,Frl Gratis,12,,,,,,,Ex,Justin Finch-Fletchley,45,,,,,,,,,,,,,Frl,Cornelius Fudge,2.5,,,,,,,,,,,,,,,,,,,,,,Ex,Frank Bryce,63,,,,Ha,Katie Bell,6,,,,Ha,Angelina Johnson,9,,,,Ovn,Lab handl Teknolog MID,32,,,,,,,,,,,,,,,,Ex,Bellatrix Lestrange,34,La,Justin Finch-Fletchley,16,Adm,Cornelius Fudge,10,,,,Ku,Michael Corner,,Ku,Michael Corner,
