,,,Totalt,3 4,DH1620,,3,DH2400,,4,DH2624,,3,DT2300,,3,DH2628,,4,DH2629,,3 4,DH2632,,4,DH2670,,3 4,DH2642,,3 4,DM128-9X,,3 4,DM1580,,4,DM2518,,3,DM2556,,3,DM2562,,4,DM2563,,4,DM2578,,4,DM2582,,3,DM2583,,4,DM2720,,4,DT2213,,3,DM2624,,3,DM2077,,3,DH2320,,3,DH2321,,4,DH2323,,3,DD2258,,3,DT2212,,1 2  3 4,DT2215,,3,DM1590,,4,DM1588,,3 4,DH1609,,3 4,DM2585,,3,DT1175,
,,,,Ovn,Vernon Dursley,54,,,,,,,La,Justin Finch-Fletchley,14,Adm,Ludo Bagman,18,Ha,Marjorie (Marge) Dursley,3,,,,,,,Adm,Lab handl Teknolog MID,44,Ex,Cedric Diggory,76,Ovn,Fleur Delacour,20,Ex,Lab handl Teknolog MID,45,Ku,Colin Creevey,16,,,,,,,Ex,Amelia Bones,,Ha,Fleur Delacour,15,Ha,Fleur Delacour,5,,,,Ex,Charity Burbage,32,Frl,Charity Burbage,8,,,,Ovn,Viktor Krum,49,,,,La,Viktor Krum,1.666.666.667,,,,Ex,Filius Flitwick,28,,,,Ha,Michael Corner,8,La,Lab handl Teknolog MID,35,Ovn,Amelia Bones,108,Ku,Fleur Delacour,20,La,Lab handl Teknolog TMH,18
,,,,Ovn,Mrs. Cole,54,,,,,,,La,Dawlish,14,Adm,Sirius Black,18,Ha,Ludo Bagman,6,,,,Adm,Argus Filch,46,,,,Ha,Terry Boot,80,,,,,,,,,,,,,,,,,,,Ha,Penelope Clearwater,15,,,,Ku,Millicent Bulstrode,15,,,,Ex,Charity Burbage,19,,,,Ha,Bellatrix Lestrange,12,,,,Ex,Viktor Krum,20,,,,,,,,,,Ku,Michael Corner,20,La,Lab handl Teknolog MID,35,Ovn,Colin Creevey,65,Ex,Fleur Delacour,3,La,NN Doktorand,18
,,,,Ovn,Bathilda Bagshot,54,Ovn,UNKNOWN MID,8,,,,Ha,Dawlish,6,Ex,Ludo Bagman,27,Ku,Ludo Bagman,8,,,,Ex,Dedalus Diggle,18,Ku,Lab handl Teknolog MID,40,Ha,Petunia Dursley (née Evans),80,,,,,,,Ovn,Colin Creevey,15,,,,,,,,,,Ovn,Penelope Clearwater,8,,,,Ovn,Phineas Nigellus Black,8,,,,Frl,UNKNOWN MID,8,,,,Ku,Bellatrix Lestrange,5,,,,Frl,Rodolphus Lestrange,20,,,,,,,,,,Ku,Gellert Grindelwald,20,Ku,Gabrielle Delacour,40,Ovn,Fö Extern MID,65,Ha,Fleur Delacour,1,Ha,NN Doktorand,15
,,,,Ovn,Fö Extern MID,54,,,,,,,Ha,Katie Bell,6,Ex,Sirius Black,26.5,Ku,Marjorie (Marge) Dursley,8,,,,Ex,Argus Filch,36,Ovn,Marcus Belby,3,Ha,Cedric Diggory,140,,,,,,,,,,,,,,,,,,,Ovn,Fleur Delacour,8,Ovn,Fleur Delacour,10,Ku,Phineas Nigellus Black,8,,,,Frl,UNKNOWN MID,8,,,,Ku,Viktor Krum,5,,,,Ex,Rodolphus Lestrange,51,,,,,,,,,,Ovn,Gellert Grindelwald,10,,,,,,,,,,Ex,Cornelius Fudge,38
,,,,Ovn,Fö Extern,54,La,Lab handl Teknolog MID,68,,,,Ha,Justin Finch-Fletchley,6,Ku,Sirius Black,8,,,,,,,Ovn,Argus Filch,31,Ovn,Lab handl Teknolog MID,13,Ha,Phineas Nigellus Black,60,,,,,,,Ovn,Fö Extern,44,,,,,,,,,,,,,Ku,Fleur Delacour,20,,,,La,Dawlish,21,Frl,UNKNOWN MID,8,,,,Adm,Viktor Krum,28,,,,,,,,,,,,,,,,Ovn,Michael Corner,5,,,,Adm,UNKNOWN MID,28,,,,Ex,NN Doktorand,19
,,,,Ovn,Mrs. Cole,54,La,Lab handl Teknolog MID,34,,,,Ha,Elphias Doge,6,,,,,,,,,,La,Lab handl Teknolog MID,16,,,,Ha,Dudley Dursley,60,,,,,,,,,,,,,,,,,,,Ku,Fleur Delacour,20,Ovn,Penelope Clearwater,10,,,,Frl,Fö Extern MID,5,Ovn,Reginald Cattermole,5,,,,Ex,Viktor Krum,64,,,,Ex,Bellatrix Lestrange,20,,,,Frl,Cornelius Fudge,12,,,,,,,,,,Ku,Colin Creevey,16,,,,Ex,NN Doktorand,19
,,,,Ovn,UNKNOWN MID,54,La,UNKNOWN MID,34,,,,Ex,Katie Bell,17,,,,Frl,Ludo Bagman,24,,,,Frl,Frl Gratis,6,,,,Ha,Charity Burbage,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frl,Frl Gratis,10,Ovn,UNKNOWN MID,5,,,,Ex,Bellatrix Lestrange,64,,,,La,Gilderoy Lockhart,14,,,,Frl,Gellert Grindelwald,8,,,,,,,,,,,,,,,,Ku,Cornelius Fudge,15
,,,,,,,Frl,Marjorie (Marge) Dursley,8,,,,Ex,Dawlish,17,,,,Frl,Marjorie (Marge) Dursley,16,,,,Ovn,Lab handl Teknolog MID,4,,,,Ha,Cho Chang,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frl,Fö Extern MID,5,Ex,Charity Burbage,19,,,,,,,,,,Ex,Gilderoy Lockhart,20,,,,,,,,,,,,,,,,Frl,Susan Bones,8,,,,Adm,Cornelius Fudge,40
,,,,Ex,Igor Karkaroff,36,Ovn,Frank Bryce,12,,,,Ex,Justin Finch-Fletchley,17,,,,Frl,Fö Extern MID,8,,,,Ovn,Lab handl Teknolog MID,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lab,Dawlish,35,Ex,Charity Burbage,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Vernon Dursley,36,,,,,,,Ex,Elphias Doge,17,,,,Frl,Fö Extern MID,16,,,,,,,,,,Frl,Petunia Dursley (née Evans),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ovn,Dawlish,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Dudley Dursley,36,,,,,,,Ku,Katie Bell,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Vernon Dursley,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Mrs. Cole,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Bathilda Bagshot,36,,,,,,,Adm,Katie Bell,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Fö Extern MID,36,,,,,,,Adm,Justin Finch-Fletchley,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Fö Extern,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Mrs. Cole,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,UNKNOWN MID,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
